Original	Simplified	G	S	M	Overall
According to tradition , they founded Tenochtitlan ( "Place of the High Priest Tenoch" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had indicated -- an eagle perched on a cactus , eating a serpent .	According to tradition , they founded Tenochtitlan ( "Place of the High Priest Tenoch" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had indicated -- an eagle perched on a cactus , eating a serpent .	good	bad	good	bad
According to tradition , they founded Tenochtitlan ( "Place of the High Priest Tenoch" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had indicated -- an eagle perched on a cactus , eating a serpent .	According to tradition , they founded Tenochtitlan ( "Place of the High Priest Tenoch" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god , Huitzilopochtli had indicated an eagle perched on a cactus , eating a serpent .	good	bad	good	bad
According to tradition , they founded Tenochtitlan ( "Place of the High Priest Tenoch" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had indicated -- an eagle perched on a cactus , eating a serpent .	According to tradition , they founded Tenochtitlan ( "Place of the High Priest Tenoch" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had said there were -- an eagle perched on a cactus , eating a serpent .	ok	bad	good	bad
According to tradition , they founded Tenochtitlan ( "Place of the High Priest Tenoch" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had indicated -- an eagle perched on a cactus , eating a serpent .	According to tradition , they founded Tenochtitlan ( "Place of the High Priest Tenoch" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had were reports -- an eagle perched on a cactus , eating a serpent .	bad	bad	good	bad
According to tradition , they founded Tenochtitlan ( "Place of the High Priest Tenoch" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had indicated -- an eagle perched on a cactus , eating a serpent .	According to tradition , they founded Tenochtitlan ( "Place of the United States , the Priest Tenoch" ) much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had indicated -- an eagle perched on a cactus , eating a serpent .	ok	bad	ok	bad
Although largely of postwar construction , this central area retains its old street pattern , and most of the surviving historical and architectural monuments are located there .	Although largely of postwar construction , this central area retains its old street pattern , and most of the surviving and architectural historical monuments are located there .	good	bad	good	bad
Although largely of postwar construction , this central area retains its old street pattern , and most of the surviving historical and architectural monuments are located there .	Although largely of postwar construction , this central area retains its old street pattern , and most of the surviving historical and architectural monuments are located there .	good	ok	good	ok
Although largely of postwar construction , this central area retains its old street pattern , and most of the surviving historical and architectural monuments are located there .	Although largely of postwar construction , this central area retains its old street pattern , and most of the surviving historical monuments and architectural are a instead .	ok	bad	ok	bad
Although largely of postwar construction , this central area retains its old street pattern , and most of the surviving historical and architectural monuments are located there .	Although mostly of postwar construction , this central area retains its old street pattern , and most of the surviving and architectural historical monuments are located there .	good	ok	good	ok
Although largely of postwar construction , this central area retains its old street pattern , and most of the surviving historical and architectural monuments are located there .	Although mostly of postwar construction , this central area retains its old street pattern , and most of the surviving historical and architectural monuments are located there .	good	bad	good	bad
